Borough,Name,UHF Neighborhood,ZCTA
Bronx,Central Bronx,Crotona - Tremont,"10453, 10457, 10460"
Bronx,Bronx Park and Fordham,Fordham - Bronx Park,"10458, 10467, 10468"
Bronx,High Bridge and Morrisania,High Bridge - Morrisania,"10451, 10452, 10456"
Bronx,Hunts Point and Mott Haven,Hunts Point - Mott Haven,"10454, 10455, 10459, 10474"
Bronx,Kingsbridge and Riverdale,Kingsbridge - Riverdale,"10463, 10471"
Bronx,Northeast Bronx,Northeast Bronx,"10466, 10469, 10470, 10475"
Bronx,Southeast Bronx,Pelhem - Throgs Neck,"10461, 10462,10464, 10465, 10472, 10473"
Bronx,Central Brooklyn,Bedford Stuyvesant - Crown Heights,"11212, 11213, 11216, 11233, 11238"
Bronx,Southwest Brooklyn,Bensonhurst - Bay Ridge,"11209, 11214, 11228"
Bronx,Borough Park,Borough Park,"11204, 11218, 11219, 11230"
Bronx,Canarsie and Flatlands,Canarsie - Flatlands,"11234, 11236, 11239"
Bronx,Southern Brooklyn,Coney Island - Sheepshead Bay,"11223, 11224, 11229, 11235"
Bronx,Northwest Brooklyn,Downtown - Heights - Slope,"11201, 11205, 11215, 11217, 11231"
Bronx,Flatbush,East Flatbush - Flatbush,"11203, 11210, 11225, 11226"
Bronx,East New York and New Lots,East New York,"11207, 11208"
Bronx,Greenpoint,Greenpoint,"11211, 11222"
Bronx,Sunset Park,Sunset Park,"11220, 11232"
Bronx,Bushwick and Williamsburg,Williamsburg - Bushwick ,"11206, 11221, 11237"
Manhattan,Central Harlem,Central Harlem - Morningside Heights,"10026, 10027, 10030, 10037, 10039"
Manhattan,Chelsea and Clinton,Chelsea - Clinton,"10001, 10011, 10018, 10019, 10020, 10036"
Manhattan,East Harlem,East Harlem,"10029, 10035"
Manhattan,Gramercy Park and Murray Hill,Gramercy Park - Murray Hill,"10010, 10016, 10017, 10022"
Manhattan,Greenwich Village and Soho,Greenwich Village - Soho,"10012, 10013, 10014"
Manhattan,Lower Manhattan,Lower Manhattan,"10004, 10005, 10006, 10007, 10038, 10280"
Manhattan,Lower East Side,Union Square - Lower East Side,"10002, 10003, 10009"
Manhattan,Upper East Side,Upper East Side,"10021, 10028, 10044, 10065, 10075, 10128"
Manhattan,Upper West Side,Upper West Side,"10023, 10024, 10025"
Manhattan,Inwood and Washington Heights,Washington Heights - Inwood,"10031, 10032, 10033, 10034, 10040"
Queens,Northeast Queens,Bayside - Little Neck,"11361, 11362, 11363, 11364"
Queens,North Queens,Flushing - Clearview,"11354, 11355, 11356, 11357, 11358, 11359, 11360"
Queens,Central Queens,Fresh Meadows,"11365, 11366, 11367"
Queens,Jamaica,Jamaica,"11412, 11423, 11432, 11433, 11434, 11435, 11436"
Queens,Northwest Queens,Long Island City - Astoria,"11101, 11102, 11103, 11104, 11105, 11106"
Queens,West Central Queens,Ridgewood - Forest Hills,"11374, 11375, 11379, 11385"
Queens,Rockaways,Rockaway,"11691, 11692, 11693, 11694, 11695, 11697"
Queens,Southeast Queens,Southeast Queens,"11004, 11005, 11411, 11413, 11422, 11426, 11427, 11428, 11429"
Queens,Southwest Queens,Southwest Queens,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421"
Queens,West Queens,West Queens,"11368, 11369, 11370, 11372, 11373, 11377, 11378"
Staten Island,Port Richmond,Port Richmond,"10302, 10303, 10310"
Staten Island,South Shore,South Beach - Tottenville,"10306, 10307, 10308, 10309, 10312"
Staten Island,Stapleton and St. George,Stapleton -  St. George,"10301, 10304, 10305"
Staten Island,Mid-Island,Willowbrook,10314